# timestamp	dir	opcode	enc	len	hex
16:30:47.290	IN	81	1	2	5136
16:30:47.290	OUT	122	0	37	7a080000040a0200184e6869e1bb876d2076e1bba52063e1bba7612062e1baa16e00000000
16:30:52.779	IN	27	1	262	1b000005b2000000000b0000003e000000c300000071000000c300000072000000c400000072000000c500000073000000c600000073000000c600000074000000c800000074000000c900000075000000ca00000075000000ca00000076000000cc00000076000000cc00000077000000cd00000077000000ce00000078000000cf00000078000000d000000079000000d100000079000000d20000007a000000d40000007a000000d50000007b000000dc0000007b000000dd0000007c000000e00000007c000000e00000007b000000f00000007b000000f00000007a000000fb0000007a000000fc00000079000001060000007900000106000000780000...
16:30:52.779	OUT	27	0	262	1b000005b2000000000b0000003e000000c300000071000000c300000072000000c400000072000000c500000073000000c600000073000000c600000074000000c800000074000000c900000075000000ca00000075000000ca00000076000000cc00000076000000cc00000077000000cd00000077000000ce00000078000000cf00000078000000d000000079000000d100000079000000d20000007a000000d40000007a000000d50000007b000000dc0000007b000000dd0000007c000000e00000007c000000e00000007b000000f00000007b000000f00000007a000000fb0000007a000000fc00000079000001060000007900000106000000780000...
16:30:54.778	IN	27	1	262	1b000005b2030000000b0000003e0000017f000000c200000181000000c200000182000000c300000185000000c300000185000000c400000188000000c400000189000000c50000018d000000c50000018e000000c600000192000000c600000193000000c70000019d000000c70000019f000000c5000001a0000000c5000001a0000000c4000001a1000000c3000001a1000000c2000001a2000000c2000001a2000000c0000001a3000000c0000001a3000000be000001a4000000bd000001a4000000bc000001a5000000bb000001a5000000b9000001a6000000b8000001a6000000b6000001a7000000b5000001a7000000b2000001a8000000b20000...
16:30:54.779	OUT	27	0	262	1b000005b2030000000b0000003e0000017f000000c200000181000000c200000182000000c300000185000000c300000185000000c400000188000000c400000189000000c50000018d000000c50000018e000000c600000192000000c600000193000000c70000019d000000c70000019f000000c5000001a0000000c5000001a0000000c4000001a1000000c3000001a1000000c2000001a2000000c2000001a2000000c0000001a3000000c0000001a3000000be000001a4000000bd000001a4000000bc000001a5000000bb000001a5000000b9000001a6000000b8000001a6000000b6000001a7000000b5000001a7000000b2000001a8000000b20000...
16:30:56.780	IN	27	1	142	1b000005b2030000000b00000020000001a8000000ae000001a9000000ad000001a9000000a9000001aa000000a8000001aa000000a5000001ab000000a4000001ab000000a0000001ac000000a0000001ac0000008b000001ab0000008a000001ab0000007f000001aa0000007e000001aa00000074000001a900000074000001a90000006b000001ad0000006b
16:30:56.780	OUT	27	0	142	1b000005b2030000000b00000020000001a8000000ae000001a9000000ad000001a9000000a9000001aa000000a8000001aa000000a5000001ab000000a4000001ab000000a0000001ac000000a0000001ac0000008b000001ab0000008a000001ab0000007f000001aa0000007e000001aa00000074000001a900000074000001a90000006b000001ad0000006b
16:30:57.582	IN	122	1	6	7a02ffffffff
16:30:57.582	OUT	122	0	160	7a05ffffffff000000070000000100164e68e1baad6e20706574206d69e1bb856e207068c3ad00000002000853686f7020506574000000030007546f702050657400000004000e546f7020c490e1baa1692047696100000029000d546f70205068c3ba2048e1bb990000003c00164e68e1baad70206dc3a3207175c3a02074e1bab76e6700000051001647e1bb997020c491e1bb93207365727665722063c5a9
16:30:57.656	IN	122	1	10	7a05ffffffff00000001
16:30:57.656	OUT	122	0	611	7a08000000000200164e68e1baad6e20706574206d69e1bb856e207068c3ad0000000500000000001069636f6e732f312e69636f6e2e706e67000972c3b9612062616279001a28737472292032302028696e74292032352028616769292032300101002342e1baa16e2063c3b3206d75e1bb916e206368e1bb8d6e206ec3b3206b68c3b46e673f00024f4b000000010000000000000001001069636f6e732f322e69636f6e2e706e67000c72e1bb936e67206375207465001a28737472292032302028696e74292032352028616769292032300101002342e1baa16e2063c3b3206d75e1bb916e206368e1bb8d6e206ec3b3206b68c3b46e673f00024f4b0000...
16:30:59.067	IN	122	1	10	7a05ffffffff00000002
16:30:59.068	OUT	122	0	2403	7a080000000803001643e1bbad612068c3a06e67207468c3ba2063c6b06e670000000a00000000001469636f6e732f31303030302e69636f6e2e706e67000e6dc3a86f2063c3b32063c3a16e68006648e1bb873a20546869c3aa6e2073e1bba92028726f636b292e204dc3b42074e1baa33a202020202b203830202873747229202c202b203830202861676929202c202b203131302028696e7429202c202b203334332028687029202c202b2034323220286d70290101002642e1baa16e2063c3b3206368e1baaf63206d75e1bb916e206d7561206ec3b3206b68c3b46e6700024f4b000000000000000200000000000831202876616e672901000000010008...
16:30:59.487	IN	122	1	10	7a05ffffffff00000003
16:30:59.487	OUT	122	0	2286	7a08ffffffff000007544f50205065740000000c00000000001369636f6e732f333039332e69636f6e2e706e670065486fe1baa3204c696e68205468c3ba205469e1babf6e20486fc3a1202873616f292873616f292873616f292873616f292873616f292873616f292873616f292873616f292873616f292873616f292873616f292063e1bba7612074756f6974686f61767431005948e1baa16e672031203a2043e1baa57020313020206869e1bb876e2063c3b320352e383432206b696e68206e676869e1bb876d202868702920323034373020286d70292032303430302028646566292030202861746b292030000000000000000000000001001069636f...
16:30:59.975	IN	122	1	10	7a05ffffffff00000004
16:30:59.975	OUT	122	0	179	7a08ffffffff00000e544f5020c490e1baa169206769610000000200000000001a616e696d5f636861726163746572732f315f69636f6e2e706e6700066b7a68643978003048e1baa16e67206368c6b0612063c3b3203a2042e1baa16e20c491616e672063c3b32039392e343030202876616e6729000000000000000000000001000d6e7063732f6c6978692e706e6700172d2d2d2d2d2d2d2d2d2d544f502d2d2d2d2d2d2d2d2d2d00000000000000000000
16:31:00.360	IN	122	1	10	7a05ffffffff00000029
16:31:00.361	OUT	122	0	868	7a08ffffffff00000d544f50205068c3ba2048e1bb990000000a00000000001a616e696d5f636861726163746572732f315f69636f6e2e706e6700066b7a68643978003048e1baa16e67206368c6b0612063c3b3203a2042e1baa16e20c491616e672063c3b32035302e31343020286e676f6329000000000000000000000001000d6e7063732f6c6978692e706e6700172d2d2d2d2d2d2d2d2d2d544f502d2d2d2d2d2d2d2d2d2d0000000000000000000000000002001b616e696d5f636861726163746572732f33345f69636f6e2e706e67000b736d6f6b65313531353035002248e1baa16e672031203a20c491616e672063c3b32035302e30313220286e...
16:31:00.736	IN	122	1	10	7a05ffffffff0000003c
16:31:00.736	OUT	122	0	48	7a070000001100164e68e1baad70206dc3a3207175c3a02074e1bab76e6700000001000b47696674636f64653a202000
16:31:05.659	IN	122	1	6	7a02ffffffff
16:31:05.659	OUT	122	0	160	7a05ffffffff000000070000000100164e68e1baad6e20706574206d69e1bb856e207068c3ad00000002000853686f7020506574000000030007546f702050657400000004000e546f7020c490e1baa1692047696100000029000d546f70205068c3ba2048e1bb990000003c00164e68e1baad70206dc3a3207175c3a02074e1bab76e6700000051001647e1bb997020c491e1bb93207365727665722063c5a9
16:31:05.710	IN	122	1	10	7a05ffffffff00000001
16:31:05.711	OUT	122	0	611	7a08000000000200164e68e1baad6e20706574206d69e1bb856e207068c3ad0000000500000000001069636f6e732f312e69636f6e2e706e67000972c3b9612062616279001a28737472292032302028696e74292032352028616769292032300101002342e1baa16e2063c3b3206d75e1bb916e206368e1bb8d6e206ec3b3206b68c3b46e673f00024f4b000000010000000000000001001069636f6e732f322e69636f6e2e706e67000c72e1bb936e67206375207465001a28737472292032302028696e74292032352028616769292032300101002342e1baa16e2063c3b3206d75e1bb916e206368e1bb8d6e206ec3b3206b68c3b46e673f00024f4b0000...
16:31:38.292	IN	81	1	2	5167
16:31:38.514	OUT	81	0	6	516700006978
16:31:43.047	IN	27	1	166	1b000005b2020000000b00000026000001ad00000072000001ad00000082000001ac00000083000001ab00000085000001aa00000086000001a900000086000001a800000087000001a800000088000001a60000008a000001a40000008b0000017c0000008b000001790000008e000001790000008f000001780000009000000177000000900000017700000091000001760000009200000175000000920000017500000106
16:31:43.047	OUT	27	0	166	1b000005b2020000000b00000026000001ad00000072000001ad00000082000001ac00000083000001ab00000085000001aa00000086000001a900000086000001a800000087000001a800000088000001a60000008a000001a40000008b0000017c0000008b000001790000008e000001790000008f000001780000009000000177000000900000017700000091000001760000009200000175000000920000017500000106
16:31:45.046	IN	27	1	126	1b000005b2020000000b0000001c000001750000010800000175000001190000016f0000011f0000016f000001200000016e00000121000000fb00000121000000fb00000122000000fa00000123000000f900000123000000f800000125000000f700000125000000f700000126000000f600000127000000f60000014f
16:31:45.046	OUT	27	0	126	1b000005b2020000000b0000001c000001750000010800000175000001190000016f0000011f0000016f000001200000016e00000121000000fb00000121000000fb00000122000000fa00000123000000f900000123000000f800000125000000f700000125000000f700000126000000f600000127000000f60000014f
16:31:47.032	IN	122	1	6	7a02ffffffe8
16:31:47.033	OUT	122	0	28	7a05ffffffe80000000100000057000cc49069e1bb836d2064616e68
16:31:47.065	IN	27	1	46	1b000005b2020000000b00000008000000f600000150000000f60000015d000000ca0000015d000000ca00000169
16:31:47.065	OUT	27	0	46	1b000005b2020000000b00000008000000f600000150000000f60000015d000000ca0000015d000000ca00000169
16:31:48.004	IN	122	1	10	7a05ffffffe800000057
16:31:48.009	OUT	10	0	35	0a0020c490c3a320c49169e1bb836d2064616e682068c3b46d206e61792072e1bb9369
16:31:52.341	IN	27	1	102	1b000005b2010000000b00000016000000ca0000016a000000ca00000180000000d500000180000000d30000017e000000d20000017e000000d20000017d000000d10000017d000000cf0000017b000000cf0000017a000000ce00000179000000cc00000179
16:31:52.342	OUT	27	0	102	1b000005b2010000000b00000016000000ca0000016a000000ca00000180000000d500000180000000d30000017e000000d20000017e000000d20000017d000000d10000017d000000cf0000017b000000cf0000017a000000ce00000179000000cc00000179
16:31:52.672	IN	122	1	6	7a02ffffffe8
16:31:52.672	OUT	122	0	28	7a05ffffffe80000000100000057000cc49069e1bb836d2064616e68
16:31:53.522	IN	122	1	10	7a05ffffffe800000057
16:31:53.522	OUT	10	0	35	0a0020c490c3a320c49169e1bb836d2064616e682068c3b46d206e61792072e1bb9369
16:31:57.091	IN	27	1	126	1b000005b2020000000b0000001c000000cc00000179000000cc0000013e000000cd0000013e000000cd0000013d000000ce0000013c000000cf0000013c000000cf0000013b000000d00000013b000000d00000013a000000d10000013a000000d100000139000000d200000139000000d300000138000000d300000148
16:31:57.092	OUT	27	0	126	1b000005b2020000000b0000001c000000cc00000179000000cc0000013e000000cd0000013e000000cd0000013d000000ce0000013c000000cf0000013c000000cf0000013b000000d00000013b000000d00000013a000000d10000013a000000d100000139000000d200000139000000d300000138000000d300000148
16:31:58.865	IN	44	1	1	2c
16:31:58.867	OUT	122	0	83	7a030000040f0000040f000341544d00024f4b0000000300000000000dc490e1bb9569202876616e67290100000001000dc490e1bb956920286e676f63290100000002000dc490e1bb956920286e676f632901
16:31:59.094	IN	27	1	30	1b000005b2020000000b00000004000000d300000149000000d300000177
16:31:59.094	OUT	27	0	30	1b000005b2020000000b00000004000000d300000149000000d300000177
16:32:01.176	IN	27	1	102	1b000005b2000000000b00000016000000d4000001770000010d000001770000010d000001780000010e000001780000010e000001790000010f00000179000001100000017a000001100000017b000001110000017b00000111000001b70000014d000001b7
16:32:01.176	OUT	27	0	102	1b000005b2000000000b00000016000000d4000001770000010d000001770000010d000001780000010e000001780000010e000001790000010f00000179000001100000017a000001100000017b000001110000017b00000111000001b70000014d000001b7
16:32:04.048	IN	27	1	262	1b000005b2030000000b0000003e0000010a000001d00000010a000001cf00000109000001cf00000108000001ce00000108000001cd00000107000001cd00000106000001cc00000106000001cb00000105000001cb00000105000001ca00000104000001ca00000102000001c800000102000001c700000101000001c700000100000001c600000100000001c5000000ff000001c5000000fe000001c4000000fe000001c3000000fd000001c3000000fd000001c2000000fc000001c2000000fc000001c1000000fb000001c1000000fa000001c0000000fa000001bf000000f9000001bf000000f9000001be000000f8000001be000000f5000001bb0000...
16:32:04.048	OUT	27	0	262	1b000005b2030000000b0000003e0000010a000001d00000010a000001cf00000109000001cf00000108000001ce00000108000001cd00000107000001cd00000106000001cc00000106000001cb00000105000001cb00000105000001ca00000104000001ca00000102000001c800000102000001c700000101000001c700000100000001c600000100000001c5000000ff000001c5000000fe000001c4000000fe000001c3000000fd000001c3000000fd000001c2000000fc000001c2000000fc000001c1000000fb000001c1000000fa000001c0000000fa000001bf000000f9000001bf000000f9000001be000000f8000001be000000f5000001bb0000...
16:32:05.524	IN	81	1	2	5167
16:32:05.659	OUT	81	0	6	516700004e20
16:32:06.054	IN	27	1	198	1b000005b2030000000b0000002e000000f50000018f000000f500000176000000f600000176000000f600000175000000f700000174000000f800000174000000f800000173000000f900000172000000fa00000172000000fa00000171000000fd0000016e000000fe0000016e000000fe0000016d000000ff0000016c000001000000016c000001000000016b000001010000016a000001020000016a0000010200000169000001070000016400000174000001640000017a0000015e0000017a00000146
16:32:06.056	OUT	27	0	198	1b000005b2030000000b0000002e000000f50000018f000000f500000176000000f600000176000000f600000175000000f700000174000000f800000174000000f800000173000000f900000172000000fa00000172000000fa00000171000000fd0000016e000000fe0000016e000000fe0000016d000000ff0000016c000001000000016c000001000000016b000001010000016a000001020000016a0000010200000169000001070000016400000174000001640000017a0000015e0000017a00000146
16:32:08.056	IN	27	1	126	1b000005b2020000000b0000001c0000017a000001450000017a000001420000017b000001410000017c000001410000017d000001400000017d0000013f0000017e0000013f0000017f0000013e0000017f0000013d000001800000013d000001810000013c000001c40000013c000001c70000013f000001c700000147
16:32:08.057	OUT	27	0	126	1b000005b2020000000b0000001c0000017a000001450000017a000001420000017b000001410000017c000001410000017d000001400000017d0000013f0000017e0000013f0000017f0000013e0000017f0000013d000001800000013d000001810000013c000001c40000013c000001c70000013f000001c700000147
16:32:09.134	IN	122	1	6	7a02fffffff9
16:32:09.134	OUT	122	0	90	7a05fffffff90000000300000016001548e1bb93692073696e68207065742073617520504b0000001700204e68e1baad6e206e6869e1bb876d2076e1bba52068e1bab16e67206e67c3a07900000018000954e1baa9792067796d
16:32:18.639	IN	-36	1	39	dc00000000040005312e342e330005756e69747900000140000000f0000276690005322e342e39
16:32:18.639	OUT	-36	0	2	dc01
16:32:18.830	IN	64	1	1	40
16:32:18.830	OUT	64	0	41	400000000100094c6f63616c686f737400093132372e302e302e3100004aec00004aec00004aec0101
16:51:53.981	IN	-36	1	39	dc00000000040005312e342e330005756e69747900000140000000f0000276690005322e342e39
16:51:53.981	OUT	-36	0	2	dc01
16:51:54.118	IN	64	1	1	40
16:51:54.118	OUT	64	0	41	400000000100094c6f63616c686f737400093132372e302e302e3100004aec00004aec00004aec0101
16:51:57.105	IN	1	1	39	010009676f706574746573740008616263313233343500000005312e342e330000000000000000
16:51:57.419	OUT	3	0	54	03000005b200066b7a6864397800066b7a68643978001b666538303a3a623666643a393465663a393136343a63313535253500004aec
16:51:57.420	OUT	121	0	6	790000001200
16:51:57.420	OUT	31	0	22	1f000005b200066b7a68643978000000000000000000
16:51:57.420	OUT	29	0	18	1d0000000b00000000000000006000000060
16:51:57.420	OUT	34	0	2208	2200ffffffe7ffffffe70000003200000032ffffffff00136e7063735c5c7472616e5f7472616e2e706e670000000100000176000000750000000600000002002c4e68e1baad6e20706574206d69e1bb856e207068c3ad2063686f206e67c6b0e1bb9d69206de1bb9b69203a2900224e68e1baad6e20706574206d69e1bb856e207068c3ad2074e1baa16920c491c3a27900095452414e204348414e0100ffffffe7ffffffe70000003200000032fffffff900166e7063732f6261635f73695f78695f74696e2e706e6700000001000001d6000001580000000600000001002242c3a1632073c4a9207468c3ba2079206dc3a1742074617920c491c3a2792028...
16:51:57.435	OUT	81	0	6	511600000000
16:51:57.436	OUT	81	0	86	510801000005b200000001000f7065744672616d65332f312e706e6700315275612054657374202873616f64656e292873616f64656e292873616f64656e292873616f64656e292873616f64656e2900000002020000
16:51:57.437	OUT	81	0	18	5128ffffb90800000f46000005b000000f74
16:51:57.438	OUT	81	0	31	515c0300000001000005b20011616e696d5f77696e67732f31352e706e6723
16:51:57.438	OUT	81	0	33	513d00000001000005b20015616e696d5f636861726163746572732f312e706e67
16:51:57.438	OUT	81	0	33	513d00000001000005b20015616e696d5f636861726163746572732f312e706e67
16:51:57.438	OUT	81	0	23	515b1700000001000005b2000a554e4954594755494c44
16:51:57.438	OUT	81	0	23	515b1700000001000005b2000a554e4954594755494c44
16:51:57.438	OUT	81	0	10	5104000005b200000000
16:51:57.439	OUT	81	0	10	5105000005b200000000
16:51:57.439	OUT	81	0	6	515e00000014
16:51:57.439	OUT	81	0	34	5119000000140000000000018448000000000000c3dc000000000000000000000000
16:51:57.439	OUT	81	0	18	516600000014000000000000000000000000
16:51:57.439	OUT	81	0	18	5128ffffb90800000f46000005b000000f74
16:51:57.529	IN	81	1	3	515b0e
16:51:57.529	OUT	81	0	141	515b0e0000006306001b54c3aa6e2062616e672068e1bb99693a20556e6974794775696c64000943e1baa5703a203135001242616e67206368e1bba73a206b7a6864397800125468c3a06e68207669c3aa6e3a20352f323900214b68e1baa975206869e1bb87753a2042616e67206d61752063686f20556e69747900105175e1bbb93a20322e3733352e303030
16:51:57.547	IN	81	1	2	5136
16:51:57.547	OUT	122	0	37	7a080000040a0200184e6869e1bb876d2076e1bba52063e1bba7612062e1baa16e00000000
16:51:57.675	OUT	81	0	6	516700004a38
16:52:01.387	IN	27	1	70	1b000005b2000000000b0000000e00000060000000610000006000000079000000630000007c000000640000007c000000640000007d00000068000000810000010400000081
16:52:01.387	OUT	27	0	70	1b000005b2000000000b0000000e00000060000000610000006000000079000000630000007c000000640000007c000000640000007d00000068000000810000010400000081
16:52:03.386	IN	27	1	38	1b000005b2030000000b0000000600000108000000810000014c000000810000014c00000075
16:52:03.386	OUT	27	0	38	1b000005b2030000000b0000000600000108000000810000014c000000810000014c00000075
16:52:07.291	IN	122	1	6	7a02ffffffff
16:52:07.291	OUT	122	0	160	7a05ffffffff000000070000000100164e68e1baad6e20706574206d69e1bb856e207068c3ad00000002000853686f7020506574000000030007546f702050657400000004000e546f7020c490e1baa1692047696100000029000d546f70205068c3ba2048e1bb990000003c00164e68e1baad70206dc3a3207175c3a02074e1bab76e6700000051001647e1bb997020c491e1bb93207365727665722063c5a9
16:52:07.333	IN	122	1	10	7a05ffffffff00000001
16:52:07.333	OUT	122	0	611	7a08000000000200164e68e1baad6e20706574206d69e1bb856e207068c3ad0000000500000000001069636f6e732f312e69636f6e2e706e67000972c3b9612062616279001a28737472292032302028696e74292032352028616769292032300101002342e1baa16e2063c3b3206d75e1bb916e206368e1bb8d6e206ec3b3206b68c3b46e673f00024f4b000000010000000000000001001069636f6e732f322e69636f6e2e706e67000c72e1bb936e67206375207465001a28737472292032302028696e74292032352028616769292032300101002342e1baa16e2063c3b3206d75e1bb916e206368e1bb8d6e206ec3b3206b68c3b46e673f00024f4b0000...
16:52:08.365	IN	122	1	10	7a05ffffffff0000003c
16:52:08.365	OUT	122	0	48	7a070000001100164e68e1baad70206dc3a3207175c3a02074e1bab76e6700000001000b47696674636f64653a202000
16:52:10.874	IN	122	1	12	7a0700000011000000010000
16:52:10.902	OUT	10	0	32	0a001d567569206cc3b26e67206b68c3b46e672062e1bb8f207472e1bb916e67
16:52:16.682	IN	81	1	2	5167
16:52:16.991	OUT	81	0	6	516700004a38
16:52:33.801	IN	122	1	10	7a05ffffffff0000003c
16:52:33.801	OUT	122	0	48	7a070000001100164e68e1baad70206dc3a3207175c3a02074e1bab76e6700000001000b47696674636f64653a202000
16:52:35.998	IN	81	1	2	5167
16:52:36.414	OUT	81	0	6	516700004268
16:52:37.669	IN	122	1	10	7a05ffffffff0000003c
16:52:37.669	OUT	122	0	48	7a070000001100164e68e1baad70206dc3a3207175c3a02074e1bab76e6700000001000b47696674636f64653a202000
16:52:53.417	IN	81	1	2	5167
16:52:53.771	OUT	81	0	6	516700004650
16:55:37.976	IN	-36	1	39	dc00000000040005312e342e330005756e69747900000140000000f0000276690005322e342e39
16:55:37.976	OUT	-36	0	2	dc01
16:55:37.994	IN	64	1	1	40
16:55:37.994	OUT	64	0	41	400000000100094c6f63616c686f737400093132372e302e302e3100004aec00004aec00004aec0101
16:55:39.259	IN	1	1	39	010009676f706574746573740008616263313233343500000005312e342e330000000000000000
16:55:39.581	OUT	3	0	54	03000005b200066b7a6864397800066b7a68643978001b666538303a3a623666643a393465663a393136343a63313535253500004aec
16:55:39.582	OUT	121	0	6	790000001200
16:55:39.582	OUT	31	0	22	1f000005b200066b7a68643978000000000000000000
16:55:39.582	OUT	29	0	18	1d0000000b00000000000000006000000060
16:55:39.583	OUT	34	0	2208	2200ffffffe7ffffffe70000003200000032ffffffff00136e7063735c5c7472616e5f7472616e2e706e670000000100000176000000750000000600000002002c4e68e1baad6e20706574206d69e1bb856e207068c3ad2063686f206e67c6b0e1bb9d69206de1bb9b69203a2900224e68e1baad6e20706574206d69e1bb856e207068c3ad2074e1baa16920c491c3a27900095452414e204348414e0100ffffffe7ffffffe70000003200000032fffffff900166e7063732f6261635f73695f78695f74696e2e706e6700000001000001d6000001580000000600000001002242c3a1632073c4a9207468c3ba2079206dc3a1742074617920c491c3a2792028...
16:55:39.593	OUT	81	0	6	511600000000
16:55:39.593	OUT	81	0	86	510801000005b200000001000f7065744672616d65332f312e706e6700315275612054657374202873616f64656e292873616f64656e292873616f64656e292873616f64656e292873616f64656e2900000002020000
16:55:39.593	OUT	81	0	18	5128ffffb90800000f46000005b000000f74
16:55:39.593	OUT	81	0	31	515c0300000001000005b20011616e696d5f77696e67732f31352e706e6723
16:55:39.593	OUT	81	0	33	513d00000001000005b20015616e696d5f636861726163746572732f312e706e67
16:55:39.593	OUT	81	0	33	513d00000001000005b20015616e696d5f636861726163746572732f312e706e67
16:55:39.593	OUT	81	0	23	515b1700000001000005b2000a554e4954594755494c44
16:55:39.593	OUT	81	0	23	515b1700000001000005b2000a554e4954594755494c44
16:55:39.593	OUT	81	0	10	5104000005b200000000
16:55:39.593	OUT	81	0	10	5105000005b200000000
16:55:39.593	OUT	81	0	6	515e00000014
16:55:39.593	OUT	81	0	34	5119000000140000000000018448000000000000c3dc000000000000000000000000
16:55:39.593	OUT	81	0	18	516600000014000000000000000000000000
16:55:39.593	OUT	81	0	18	5128ffffb90800000f46000005b000000f74
16:55:39.596	OUT	81	0	6	5167000059d8
16:55:39.612	IN	81	1	3	515b0e
16:55:39.612	OUT	81	0	141	515b0e0000006306001b54c3aa6e2062616e672068e1bb99693a20556e6974794775696c64000943e1baa5703a203135001242616e67206368e1bba73a206b7a6864397800125468c3a06e68207669c3aa6e3a20352f323900214b68e1baa975206869e1bb87753a2042616e67206d61752063686f20556e69747900105175e1bbb93a20322e3733352e303030
16:55:39.613	IN	81	1	2	5136
16:55:39.613	OUT	122	0	37	7a080000040a0200184e6869e1bb876d2076e1bba52063e1bba7612062e1baa16e00000000
16:55:42.918	IN	27	1	86	1b000005b2000000000b00000012000000600000005f000000a10000005f000000a200000060000000af00000060000000af00000061000000b800000061000000b800000062000000bf00000062000000bf00000067
16:55:42.918	OUT	27	0	86	1b000005b2000000000b00000012000000600000005f000000a10000005f000000a200000060000000af00000060000000af00000061000000b800000061000000b800000062000000bf00000062000000bf00000067
16:55:44.924	IN	27	1	262	1b000005b2000000000b0000003e000000d500000089000000d60000008a000000d80000008a000000d90000008b000000dc0000008b000000dd0000008c000000e20000008c000000e30000008d000000ec0000008d000000ec0000008e0000011d0000008e0000011e0000008d000001250000008d000001260000008c0000012b0000008c0000012c0000008b000001310000008b000001310000008a000001360000008a00000137000000890000013a000000890000013b000000880000013f000000880000013f0000008700000143000000870000014400000086000001480000008600000149000000850000014c000000850000014d000000840000...
